"IDS","IDL","TEL","LATITUDE","LONGITUDE"
1,3,123456789,48,8566,2,3522
2,3,234567891,48,8534,2,3488
3,3,345678912,48,8503,2,3481
4,17,456789123,43,5325,5,4456
5,17,567891234,43,5342,5,4427
6,9,678912345,45,5412,3,2458
7,9,789123456,45,5478,3,2491
8,9,891234567,45,5396,3,2482
9,12,900000000,45,75,4,85
10,12,911111111,45,7523,4,8489
11,12,922222222,45,7497,4,8463
12,15,933333333,49,8094,4,736
13,15,944444444,49,8127,4,7376
14,18,955555555,49,8079,4,7352
18,21,123456789,48,8566,2,3522
19,21,234567891,48,8534,2,3488
20,21,345678912,48,8503,2,3481
21,21,456789123,48,8472,2,3456
22,21,567891234,48,8439,2,3423
23,21,678912345,48,8407,2,3391
